Id	Bas3	Bas2	WT4	WT3	norm.Bas3	norm.Bas2	norm.WT4	norm.WT3	baseMean	Base	WT	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks	cogClass	prod
CD630_00010	0	0	2	0	0	0	1	0	0.34	0	0	1.032	0.045	0.171	0.864394441197924	NA	0	27.0345	10	10	TRUE	NA	L	Chromosomal replication initiator protein
CD630_00020	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	L	DNA polymerase III subunit beta
CD630_00030	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	J	Putative RNA-binding mediating protein
CD630_00040	0	0	0	2	0	0	0	1	0.16	0	0	0.996	-0.006	-0.024	0.981064521226078	NA	0	91.5366	10	10	TRUE	NA	L	DNA replication and repair protein RecF
CD630_00050	0	0	0	8	0	0	0	3	0.66	0	2	1.072	0.101	0.381	0.703273297261834	NA	10	10.0039	10	10	TRUE	NA	L	DNA gyrase subunit B
CD630_00060	0	2	0	1	0	4	0	0	0.99	2	0	0.819	-0.288	-0.861	0.389237147097396	NA	1.6871	5.0098	4.7658	4.7658	TRUE	NA	L	DNA gyrase subunit A
CD630_00070	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	Conserved hypothetical protein
CD630_00080	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Conserved hypothetical protein
CD630_00090	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	T	Anti-anti-sigma factor
CD630_00100	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	T	Serine-protein kinase RsbW
CD630_00110	0	4	0	0	0	7	0	0	1.82	4	0	0.585	-0.772	-1.856	0.0635233221590624	0.192514855407039	10	2.3625	2.8059	2.8059	TRUE	NA	K	RNA polymerase sigma-B factor
CD630_00120	0	0	2	0	0	0	1	0	0.34	0	0	1.032	0.045	0.171	0.864394441197924	NA	0	27.0345	10	10	TRUE	NA	KH	Putative small-molecule-binding protein
CD630_00130	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Putative mechanosensitive ion channel protein
CD630_00140	0	0	4	4	0	0	3	1	1.01	0	2	1.184	0.244	0.71	0.477558579367095	NA	0	4.8727	4.4859	4.4859	TRUE	NA	J	Seryl-tRNA synthetase 1
CD630_00150	0	0	0	4	0	0	0	1	0.33	0	0	1.032	0.046	0.176	0.860578091675556	NA	0	28.4427	10	10	TRUE	NA	J	tRNA specific adenosine deaminase
CD630_00160	0	0	0	2	0	0	0	1	0.16	0	0	0.996	-0.006	-0.024	0.981064521226078	NA	0	91.5366	10	10	TRUE	NA	L	DNA polymerase III subunits gamma and tau
CD630_00170	0	0	0	2	0	0	0	1	0.16	0	0	0.996	-0.006	-0.024	0.981064521226078	NA	0	91.5366	10	10	TRUE	NA	K	DNA binding protein
CD630_00180	0	2	3	6	0	4	2	2	1.91	2	2	1.011	0.016	0.038	0.969565261058549	0.984740131104844	0	2.1411	1.8243	1.8243	TRUE	NA	L	DNA repair and recombination protein
CD630_00181	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Conserved hypothetical protein
CD630_00190	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Putative glycosyl transferase
CD630_00200	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Conserved hypothetical protein
CD630_00210	2	0	0	8	5	0	0	3	1.79	2	2	0.931	-0.102	-0.26	0.7951524383937	0.902192189715929	6.1086	2.42	2.6656	2.6656	TRUE	NA	C	Pyruvate carboxylase
CD630_00220	0	0	19	7	0	0	13	2	3.81	0	8	2.252	1.171	2.178	0.029389233618281	0.137826808318808	2.0806	0.7846	0.8616	0.8616	TRUE	NA	J	Elongation factor G %28EF-G%29
CD630_00230	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	K	Transcriptional regulator%2C CtsR family
CD630_00240	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	Activator of protein kinase McsB
CD630_00250	0	0	0	4	0	0	0	1	0.33	0	0	1.032	0.046	0.176	0.860578091675556	NA	0	28.4427	10	10	TRUE	NA	O	Tyrosine kinase protein
CD630_00260	0	0	2	9	0	0	1	3	1.08	0	2	1.206	0.271	0.77	0.441585926123386	NA	0	4.4614	4.1394	4.1394	TRUE	NA	O	class III stress response-related ATPase%2C AAA%2B superfamily
CD630_00270	0	0	1	4	0	0	1	1	0.5	0	1	1.055	0.078	0.295	0.767852641193514	NA	0	15.2913	10	10	TRUE	NA	L	DNA repair protein
CD630_00280	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	T	DNA integrity scanning protein disA
CD630_00290	0	0	0	2	0	0	0	1	0.16	0	0	0.996	-0.006	-0.024	0.981064521226078	NA	0	91.5366	10	10	TRUE	NA	R	Putative membrane protein
CD630_00300	0	2	1	0	0	4	1	0	1.08	2	0	0.833	-0.264	-0.774	0.43922524780357	NA	3.9912	4.4779	4.421	4.421	TRUE	NA	notInCOG	Putative membrane protein
CD630_00310	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G-K	Transcriptional regulator%2C AraC family
CD630_00320	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	Putative beta-glucosidase
CD630_00330	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	Putative glycoside hydrolase
CD630_00340	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	Putative xylose transporter%2C sodium:galactoside symporter family
